tube.x,tube.y,sn.x,sn.y,cm.x,cm.y,t
49,67.2,34.4,45.8,27.8,47.8,0:00:00:308
49,67.2,34.4,45.8,27.8,47.8,0:00:00:312
49,67.2,34.4,45.8,27.8,47.8,0:00:00:316
49,67.2,34.4,45.8,27.8,47.8,0:00:00:320
49,67.2,34.4,45.8,27.8,47.8,0:00:00:324
49,67.2,34.4,45.8,27.8,47.8,0:00:00:329
49,67.2,34.4,45.8,27.8,47.8,0:00:00:333
49,67.2,34.4,45.8,27.8,47.8,0:00:00:337
49,67.2,34.4,45.8,27.8,47.8,0:00:00:341
49,67.2,34.4,45.8,27.8,47.8,0:00:00:345
49,67.2,34.4,45.8,27.8,47.8,0:00:00:350
49,67.2,34.4,45.8,27.8,47.8,0:00:00:354
49,67.2,34.4,45.8,27.8,47.8,0:00:00:358
49,67.2,34.4,45.8,27.8,47.8,0:00:00:362
49,67.2,34.4,45.8,27.8,47.8,0:00:00:366
49,67.2,34.4,45.8,27.8,47.8,0:00:00:370
49,67.2,34.4,45.8,27.8,47.8,0:00:00:374
49,67.2,34.4,45.8,27.8,47.8,0:00:00:379
49,67.2,34.4,45.8,27.8,47.8,0:00:00:383
49,67.2,34.4,45.8,27.8,47.8,0:00:00:387
49,67.2,34.4,45.8,27.8,47.8,0:00:00:391
49,67.2,34.4,45.8,27.8,47.8,0:00:00:395
49,67.2,34.4,45.8,27.8,47.8,0:00:00:399
49,67.2,34.4,45.8,27.8,47.8,0:00:00:404
49,67.2,34.4,45.8,27.8,47.8,0:00:00:408
49,67.2,34.4,45.8,27.8,47.8,0:00:00:412
49,67.2,34.4,45.8,27.8,47.8,0:00:00:416
49,67.2,34.4,45.8,27.8,47.8,0:00:00:420
49,67.2,34.4,45.8,27.8,47.8,0:00:00:424
49,67.2,34.4,45.8,27.8,47.8,0:00:00:429
49,67.2,34.4,45.8,27.8,47.8,0:00:00:433
49,67.2,34.4,45.8,27.8,47.8,0:00:00:437
49,67.2,34.4,45.8,27.8,47.8,0:00:00:441
49,67.2,34.4,45.8,27.8,47.8,0:00:00:445
49,67.2,34.4,45.8,27.8,47.8,0:00:00:450
49,67.2,34.4,45.8,27.8,47.8,0:00:00:454
49,67.2,34.4,45.8,27.8,47.8,0:00:00:458
49,67.2,34.4,45.8,27.8,47.8,0:00:00:462
49,67.2,34.4,45.8,27.8,47.8,0:00:00:466
49,67.2,34.4,45.8,27.8,47.8,0:00:00:470
49,67.2,34.4,45.8,27.8,47.8,0:00:00:474
49,67.2,34.4,45.8,27.8,47.8,0:00:00:479
49,67.2,34.4,45.8,27.8,47.8,0:00:00:483
49,67.2,34.4,45.8,27.8,47.8,0:00:00:487
49,67.2,34.4,45.8,27.8,47.8,0:00:00:491
49,67.2,34.4,45.8,27.8,47.8,0:00:00:495
49,67.2,34.4,45.8,27.8,47.8,0:00:00:499
49,67.2,34.4,45.8,27.8,47.8,0:00:00:504
49,67.2,34.4,45.8,27.8,47.8,0:00:00:508
49,67.2,34.4,45.8,27.8,47.8,0:00:00:512
49,67.2,34.4,45.8,27.8,47.8,0:00:00:516
49,67.2,34.4,45.8,27.8,47.8,0:00:00:520
49,67.2,34.4,45.8,27.8,47.8,0:00:00:524
49,67.2,34.4,45.8,27.8,47.8,0:00:00:529
49,67.2,34.4,45.8,27.8,47.8,0:00:00:533
49,67.2,34.4,45.8,27.8,47.8,0:00:00:537
49,67.2,34.4,45.8,27.8,47.8,0:00:00:541
49,67.2,34.4,45.8,27.8,47.8,0:00:00:545
49,67.2,34.4,45.8,27.8,47.8,0:00:00:549
49,67.2,34.4,45.8,27.8,47.8,0:00:00:554
49,67.2,34.4,45.8,27.8,47.8,0:00:00:558
49,67.2,34.4,45.8,27.8,47.8,0:00:00:562
49,67.2,34.4,45.8,27.8,47.8,0:00:00:566
49,67.2,34.4,45.8,27.8,47.8,0:00:00:570
49,67.2,34.4,45.8,27.8,47.8,0:00:00:574
49,67.2,34.4,45.8,27.8,47.8,0:00:00:579
49,67.2,34.4,45.8,27.8,47.8,0:00:00:583
49,67.2,34.4,45.8,27.8,47.8,0:00:00:587
49,67.2,34.4,45.8,27.8,47.8,0:00:00:591
49,67.2,34.4,45.8,27.8,47.8,0:00:00:595
49,67.2,34.4,45.8,27.8,47.8,0:00:00:600
49,67.2,34.4,45.8,27.8,47.8,0:00:00:604
49,67.2,34.4,45.8,27.8,47.8,0:00:00:608
49,67.2,34.4,45.8,27.8,47.8,0:00:00:612
49,67.2,34.4,45.8,27.8,47.8,0:00:00:616
49,67.2,34.4,45.8,27.8,47.8,0:00:00:620
49,67.2,34.4,45.8,27.8,47.8,0:00:00:624
49,67.2,34.4,45.8,27.8,47.8,0:00:00:629
49,67.2,34.4,45.8,27.8,47.8,0:00:00:633
49,67.2,34.4,45.8,27.8,47.8,0:00:00:637
49,67.2,34.4,45.8,27.8,47.8,0:00:00:641
49,67.2,34.4,45.8,27.8,47.8,0:00:00:645
49,67.2,34.4,45.8,27.8,47.8,0:00:00:649
49,67.2,34.4,45.8,27.8,47.8,0:00:00:654
49,67.2,34.4,45.8,27.8,47.8,0:00:00:658
49,67.2,34.4,45.8,27.8,47.8,0:00:00:662
49,67.2,34.4,45.8,27.8,47.8,0:00:00:666
49,67.2,34.4,45.8,27.8,47.8,0:00:00:670
49,67.2,34.4,45.8,27.8,47.8,0:00:00:675
49,67.2,34.4,45.8,27.8,47.8,0:00:00:679
49,67.2,34.4,45.8,27.8,47.8,0:00:00:683
49,67.2,34.4,45.8,27.8,47.8,0:00:00:687
49,67.2,34.4,45.8,27.8,47.8,0:00:00:691
49,67.2,34.4,45.8,27.8,47.8,0:00:00:695
49,67.2,34.4,45.8,27.8,47.8,0:00:00:700
49,67.2,34.4,45.8,27.8,47.8,0:00:00:704
49,67.2,34.4,45.8,27.8,47.8,0:00:00:708
49,67.2,34.4,45.8,27.8,47.8,0:00:00:712
49,67.2,34.4,45.8,27.8,47.8,0:00:00:716
49,67.2,34.4,45.8,27.8,47.8,0:00:00:720
49,67.2,34.4,45.8,27.8,47.8,0:00:00:724
49,67.2,34.4,45.8,27.8,47.8,0:00:00:729
49,67.2,34.4,45.8,27.8,47.8,0:00:00:733
49,67.2,34.4,45.8,27.8,47.8,0:00:00:737
49,67.2,34.4,45.8,27.8,47.8,0:00:00:741
49,67.2,34.4,45.8,27.8,47.8,0:00:00:745
49,67.2,34.4,45.8,27.8,47.8,0:00:00:749
49,67.2,34.4,45.8,27.8,47.8,0:00:00:754
49,67.2,34.4,45.8,27.8,47.8,0:00:00:758
49,67.2,34.4,45.8,27.8,47.8,0:00:00:762
49,67.2,34.4,45.8,27.8,47.8,0:00:00:766
49,67.2,34.4,45.8,27.8,47.8,0:00:00:770
49,67.2,34.4,45.8,27.8,47.8,0:00:00:774
49,67.2,34.4,45.8,27.8,47.8,0:00:00:779
49,67.2,34.4,45.8,27.8,47.8,0:00:00:783
49,67.2,34.4,45.8,27.8,47.8,0:00:00:787
49,67.2,34.4,45.8,27.8,47.8,0:00:00:791
49,67.2,34.4,45.8,27.8,47.8,0:00:00:795
49,67.2,34.4,45.8,27.8,47.8,0:00:00:799
49,67.2,34.4,45.8,27.8,47.8,0:00:00:804
49,67.2,34.4,45.8,27.8,47.8,0:00:00:808
49,67.2,34.4,45.8,27.8,47.8,0:00:00:812
49,67.2,34.4,45.8,27.8,47.8,0:00:00:816
49,67.2,34.4,45.8,27.8,47.8,0:00:00:820
49,67.2,34.4,45.8,27.8,47.8,0:00:00:825
49,67.2,34.4,45.8,27.8,47.8,0:00:00:829
49,67.2,34.4,45.8,27.8,47.8,0:00:00:833
